CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
17140,,,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,2137667,2137713,2140715,2146208,2152554,2162060,2172190,2181427,2191572,2202558,2211936,2221208,,
17140,,18029,"Dearborn County, IN",County or equivalent,50047,50027,50083,49986,49727,49739,49418,49455,49436,49564,49482,49458,,
17140,,18047,"Franklin County, IN",County or equivalent,23087,23098,23059,23040,23032,22970,22982,22940,22770,22694,22706,22758,,
17140,,18115,"Ohio County, IN",County or equivalent,6128,6098,6086,6052,6055,5986,5957,5877,5885,5854,5879,5875,,
17140,,18161,"Union County, IN",County or equivalent,7516,7516,7537,7496,7352,7307,7241,7185,7139,7159,7029,7054,,
17140,,21015,"Boone County, KY",County or equivalent,118811,118810,119373,121710,123412,125022,126677,128161,129503,130952,131901,133581,,
17140,,21023,"Bracken County, KY",County or equivalent,8488,8486,8513,8510,8462,8423,8359,8290,8368,8285,8278,8303,,
17140,,21037,"Campbell County, KY",County or equivalent,90336,90338,90623,91241,91246,91423,91971,92124,92257,92878,93464,93584,,
17140,,21077,"Gallatin County, KY",County or equivalent,8589,8586,8612,8619,8552,8578,8636,8613,8719,8720,8766,8869,,
17140,,21081,"Grant County, KY",County or equivalent,24662,24655,24677,24765,24521,24565,24829,24736,24910,24973,25065,25069,,
17140,,21117,"Kenton County, KY",County or equivalent,159720,159728,159961,160526,161704,163131,163623,164478,164962,165608,166292,166998,,
