area,area_name,occ_code,occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year,occ
All,U.S. all,00-0000,All Occupations,134354250,0.1,         19.56,         40690,0.1,          7.72,         10.06,         15.10,         23.87,         36.49,         16060,         20920,         31410,         49640,         75910,2007,all_jobs
All,U.S. all,27-2031,Dancers,12530,7.0,         14.74,,3.6,          7.17,          7.75,         10.72,         17.85,         28.01,,,,,,2007,dancer
All,U.S. all,27-2032,Choreographers,15250,7.0,         19.04,         39600,2.6,          7.99,         10.91,         17.11,         25.13,         31.44,         16620,         22700,         35580,         52270,         65400,2007,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,219990,1.4,         15.86,         32990,0.8,          7.48,          9.06,         13.31,         20.49,         28.36,         15550,         18850,         27680,         42610,         58990,2007,fit_trainer
All,U.S. all,39-9032,Recreation workers,278070,1.3,         11.44,         23790,0.4,          7.20,          8.21,         10.20,         13.44,         17.66,         14980,         17070,         21220,         27960,         36730,2007,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5682670,0.4,21.88,45500,0.8,8.27,10.38,16.53,27.29,42.14,17210,21580,34380,56770,87640,2007,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,1390,29.2,9.65,,5.7,7.65,7.99,8.62,9.25,12.24,,,,,,2007,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,970,20.6,23.76,49410,8.2,12.23,16.70,22.68,28.26,35.66,25440,34740,47170,58780,74160,2007,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness trainers and aerobics instructors,10960,6.5,18.94,39390,2.6,8.79,11.44,18.45,23.87,30.72,18290,23790,38370,49650,63890,2007,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation workers,11810,4.5,11.04,22970,1.2,7.87,8.75,10.33,12.26,15.00,16380,18210,21490,25490,31200,2007,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,2019270,0.7,26.18,54450,0.8,9.15,12.83,20.77,33.21,50.30,19020,26690,43210,69080,104620,2007,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,350,45.1,16.66,,8.9,12.47,13.55,15.73,17.83,19.09,,,,,,2007,dancer
SanFran,"San Francisco-Oakland-Fremont, CA",27-2032,Choreographers,,,26.51,55150,7.3,15.67,19.64,25.97,32.80,39.48,32600,40850,54030,68230,82120,2007,choreo
SanFran,"San Francisco-Oakland-Fremont, CA",39-9031,Fitness trainers and aerobics instructors,5010,8.3,19.42,40390,3.6,10.09,12.75,18.07,24.25,30.97,20980,26520,37590,50440,64420,2007,fit_trainer
SanFran,"San Francisco-Oakland-Fremont, CA",39-9032,Recreation workers,5440,6.3,13.42,27910,1.9,8.27,9.71,12.52,16.35,19.56,17210,20190,26040,34010,40680,2007,rec_worker
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,All Occupations,4477610,0.4,21.69,45120,0.8,7.74,10.44,16.62,27.65,40.70,16100,21710,34570,57500,84660,2007,all_jobs
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2031,Dancers,490,38.6,12.93,,14.7,7.21,7.69,10.33,14.26,26.16,,,,,,2007,dancer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2032,Choreographers,530,40.3,19.95,41490,7.9,9.32,13.57,17.51,24.29,36.22,19380,28230,36430,50530,75350,2007,choreo
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9031,Fitness trainers and aerobics instructors,9400,9.7,16.70,34740,4.5,7.51,8.81,12.34,22.84,30.57,15630,18330,25660,47510,63580,2007,fit_trainer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9032,Recreation workers,9770,7.3,11.25,23390,2.1,7.19,7.84,9.58,12.76,17.50,14960,16310,19920,26550,36410,2007,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8340640,0.3,24.43,50820,0.4,8.54,11.82,18.81,30.40,46.79,17760,24590,39120,63240,97320,2007,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2031,Dancers,1420,23.7,18.46,,9.0,7.46,9.30,15.26,25.21,31.55,,,,,,2007,dancer
